"filename", "language", "PowerShell", "JavaScript", "CSS", "HTML", "Tasks", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\Myste\Desktop\ShellPost\INSTALLER.ps1", "PowerShell", 5, 0, 0, 0, 0, 0, 0, 23, 0, 28
"c:\Users\Myste\Desktop\ShellPost\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"c:\Users\Myste\Desktop\ShellPost\data\manifest.json", "JSON", 0, 0, 0, 0, 0, 37, 0, 0, 4, 41
"c:\Users\Myste\Desktop\ShellPost\data\module\manifest\RequestHandler.psd1", "PowerShell", 241, 0, 0, 0, 0, 0, 0, 0, 0, 241
"c:\Users\Myste\Desktop\ShellPost\data\module\manifest\WebsiteConstructor.psd1", "PowerShell", 241, 0, 0, 0, 0, 0, 0, 0, 0, 241
"c:\Users\Myste\Desktop\ShellPost\data\module\module\RequestHandler.psm1", "PowerShell", 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Myste\Desktop\ShellPost\data\module\module\WebsiteConstructor.psm1", "PowerShell", 47, 0, 0, 0, 0, 0, 0, 25, 5, 77
"c:\Users\Myste\Desktop\ShellPost\data\templates\Main\Main.css", "CSS", 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"c:\Users\Myste\Desktop\ShellPost\data\templates\Main\Main.html", "HTML", 0, 0, 0, 11, 0, 0, 0, 2, 2, 15
"c:\Users\Myste\Desktop\ShellPost\data\templates\Main\Main.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Myste\Desktop\ShellPost\dev\list.todo", "Tasks", 0, 0, 0, 0, 20, 0, 0, 0, 0, 20
"c:\Users\Myste\Desktop\ShellPost\dev\test\website_constructor.html", "HTML", 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\Myste\Desktop\ShellPost\unit_test.ps1", "PowerShell", 28, 0, 0, 0, 0, 0, 0, 6, 2, 36
"c:\Users\Myste\Desktop\ShellPost\web.ps1", "PowerShell", 24, 0, 0, 0, 0, 0, 0, 34, 6, 64
"Total", "-", 600, 1, 9, 31, 20, 37, 2, 90, 28, 818
